Symbol,Date      ,Close ,High    ,Low    ,Open    ,Volume
MSFT  ,2018-03-16,94.6  ,95.38   ,93.92  ,94.68   ,49081279
MSFT  ,2018-03-19,92.89 ,93.9    ,92.11  ,93.74   ,33344085
MSFT  ,2018-03-20,93.13 ,93.77   ,93.0   ,93.05   ,23075240
MSFT  ,2018-03-21,92.48 ,94.05   ,92.21  ,92.93   ,24457082
MSFT  ,2018-03-22,89.79 ,91.75   ,89.66  ,91.265  ,38604715
MSFT  ,2018-03-23,87.18 ,90.46   ,87.08  ,89.5    ,44068949
MSFT  ,2018-03-26,93.78 ,94.0    ,90.4   ,90.61   ,56396780
MSFT  ,2018-03-27,89.47 ,95.139  ,88.51  ,94.94   ,56569011
MSFT  ,2018-03-28,89.39 ,91.23   ,88.873 ,89.82   ,52501146
MSFT  ,2018-03-29,91.27 ,92.29   ,88.4   ,90.18   ,45867548
MSFT  ,2018-03-30,91.27 ,91.27   ,91.27  ,91.27   ,0
MSFT  ,2018-04-02,88.52 ,90.88   ,87.51  ,90.47   ,48515417
MSFT  ,2018-04-03,89.71 ,90.05   ,87.89  ,89.575  ,37213837
MSFT  ,2018-04-04,92.33 ,92.76   ,87.73  ,87.85   ,35559956
MSFT  ,2018-04-05,92.38 ,93.065  ,91.4   ,92.435  ,29771881
MSFT  ,2018-04-06,90.23 ,92.46   ,89.48  ,91.49   ,38026000
MSFT  ,2018-04-09,90.77 ,93.17   ,90.62  ,91.04   ,31533943
MSFT  ,2018-04-10,92.88 ,93.28   ,91.64  ,92.39   ,26939883
MSFT  ,2018-04-11,91.86 ,93.29   ,91.48  ,92.01   ,24872110
MSFT  ,2018-04-12,93.58 ,94.16   ,92.43  ,92.43   ,26758879
MSFT  ,2018-04-13,93.08 ,94.18   ,92.44  ,94.05   ,23346063
MSFT  ,2018-04-16,94.17 ,94.66   ,93.42  ,94.07   ,20288083
MSFT  ,2018-04-17,96.07 ,96.54   ,94.88  ,95.0    ,26771000
MSFT  ,2018-04-18,96.44 ,96.72   ,95.52  ,96.22   ,21043287
MSFT  ,2018-04-19,96.11 ,97.07   ,95.34  ,96.44   ,23552541
MSFT  ,2018-04-20,95.0  ,96.11   ,94.05  ,95.91   ,31154377
MSFT  ,2018-04-23,95.35 ,96.29   ,94.63  ,95.7436 ,22331829
MSFT  ,2018-04-24,93.12 ,96.47   ,92.41  ,96.242  ,34524799
MSFT  ,2018-04-25,92.31 ,93.3    ,90.28  ,93.3    ,33729257
